,Unnamed: 0,Unnamed: 0.1,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
44,44,45,2223,410 Chestnut St,Gadsden,2014-09-13,http://www.gunviolencearchive.org/incident/192567,34.0119634,-86.004244,0,0
45,45,46,2230,226 49th Ave E,Tuscaloosa,2014-09-13,http://www.gunviolencearchive.org/incident/197983,33.2133752,-87.4726149,2,0
46,46,47,2233,,Pickens County (county),2014-09-13,http://www.gunviolencearchive.org/incident/192569,33.2642548,-88.09454679999999,0,1
47,47,48,2256,910 Martin Luther King Blvd S,Union Springs ,2014-09-13,http://www.gunviolencearchive.org/incident/196347,32.1314901,-85.7146538,0,0
48,48,49,2299,1207 Old Trinity Road,Trinity,2014-09-14,http://www.gunviolencearchive.org/incident/191076,34.6089081,-87.0805292,1,1
49,49,50,2397,1500 block of Bessemer Road ,Birmingham,2014-09-14,http://www.gunviolencearchive.org/incident/190911,33.4835247,-86.8924455,1,1
50,50,51,2400,1100 block of Alabama Avenue,Selma,2014-09-14,http://www.gunviolencearchive.org/incident/192579,32.4077722,-87.0195452,0,0
51,51,52,2418,1000 block of Houston Street ,Mobile,2014-09-14,http://www.gunviolencearchive.org/incident/192763,30.6687963,-88.0813077,0,0
52,52,53,2482,3401 Holmes Ave NW,Huntsville,2014-09-15,http://www.gunviolencearchive.org/incident/192733,34.7264881,-86.6177855,0,0
53,53,54,2605,22000 of Fain Road,Elkmont,2014-09-16,http://www.gunviolencearchive.org/incident/192731,34.9202978,-86.9236142,0,0
54,54,55,2647,Highway 59 ,Bay Minette ,2014-09-16,http://www.gunviolencearchive.org/incident/192752,30.8787655,-87.7838226,0,0
55,55,56,2710,Highway 98,Magnolia Springs,2014-09-16,http://www.gunviolencearchive.org/incident/192757,30.4065526,-87.77616189999999,0,0
56,56,57,2831,Main Avenue and Alabama 21,Sylacauga,2014-09-17,http://www.gunviolencearchive.org/incident/195350,33.1835434,-86.247301,0,0
57,57,58,2871,2700 block of 35th Avenue North,Birmingham,2014-09-17,http://www.gunviolencearchive.org/incident/192576,33.5571329,-86.81860189999999,3,0
58,58,59,2937,6800 block of Division Avenue ,Birmingham,2014-09-18,http://www.gunviolencearchive.org/incident/195343,33.5511568,-86.73742469999999,2,0
59,59,60,2945,3400 block of Margaret Ann Drive,Montgomery,2014-09-18,http://www.gunviolencearchive.org/incident/196304,32.359361,-86.36841,0,1
60,60,61,3087,1800 block of Green Street,Selma,2014-09-19,http://www.gunviolencearchive.org/incident/196308,32.4243796,-87.0183909,0,0
61,61,62,3112,1500 14th Street,Phenix City,2014-09-19,http://www.gunviolencearchive.org/incident/194789,32.4732522,-85.03831339999999,0,1
62,62,63,3177,1000 block of Monk Street,Valley,2014-09-19,http://www.gunviolencearchive.org/incident/195221,32.7953575,-85.1602578,1,0
63,63,64,3187,Cedar Avenue Southwest,Birmingham,2014-09-19,http://www.gunviolencearchive.org/incident/195309,33.4575676,-86.8828509,0,0
64,64,65,3208,500 block of 4th Terrace North ,Birmingham,2014-09-19,http://www.gunviolencearchive.org/incident/195320,33.528215,-86.7808829,0,1
65,65,66,3419,2400 block of Sandy Street,Montgomery,2014-09-21,http://www.gunviolencearchive.org/incident/195293,32.3524282,-86.3365477,0,1
66,66,67,3499,,Tallapoosa County,2014-09-21,http://www.gunviolencearchive.org/incident/202621,32.9416106,-85.9323261,0,0
67,67,68,3689, Joe Campbell Road and Stewart Lane,Talladega County,2014-09-22,http://www.gunviolencearchive.org/incident/196279,,,0,0
68,68,69,3710,920 East Academy Street,Troy,2014-09-22,http://www.gunviolencearchive.org/incident/196323,31.80963349999999,-85.9580652,0,0
69,69,70,3756,4601 Inglenook Lane,Birmingham,2014-09-23,http://www.gunviolencearchive.org/incident/195207,33.5676261,-86.76635820000001,0,3
70,70,71,3831,4000 Grand Ave.,Hoover,2014-09-23,http://www.gunviolencearchive.org/incident/195299,33.392303,-86.88493419999999,0,1
71,71,72,3900,3800 block of Sparkman Drive ,Huntsville,2014-09-24,http://www.gunviolencearchive.org/incident/196296,34.7604774,-86.6197115,0,0
72,72,73,3942,JVC Road ,Tuscaloosa,2014-09-24,http://www.gunviolencearchive.org/incident/196282,33.1731743,-87.4591756,1,0
73,73,74,3950,500 block of 34th Avenue,Tuscaloosa,2014-09-24,http://www.gunviolencearchive.org/incident/195965,33.2070704,-87.58016339999999,1,0
74,74,75,4055,102 S Prairie St,Union Springs,2014-09-25,http://www.gunviolencearchive.org/incident/199455,32.1436078,-85.716129,1,0
75,75,76,4109,,Gulf Shores,2014-09-25,http://www.gunviolencearchive.org/incident/196326,30.2530593,-87.6894392,0,0
76,76,77,4113,3100 block of Gayhart Drive ,Huntsville,2014-09-25,http://www.gunviolencearchive.org/incident/196288,34.7651399,-86.6345944,0,0
77,77,78,4213,County Road 29,Marion Junction,2014-09-26,http://www.gunviolencearchive.org/incident/199447,32.4380364,-87.2365519,1,0
78,78,79,4243,100 block of NE Helms Road ,Morgan County,2014-09-26,http://www.gunviolencearchive.org/incident/199436,34.4727477,-86.73331879999999,0,0
79,79,80,4247,6th Avenue ,Decatur,2014-09-26,http://www.gunviolencearchive.org/incident/199419,34.6090921,-86.97770950000002,1,0
80,80,81,4261,1900 block of Gibbs Drive,Montgomery,2014-09-26,http://www.gunviolencearchive.org/incident/197213,32.3566527,-86.3368299,2,0
81,81,82,4344,2700 block of 18th Street,Tuscaloosa,2014-09-26,http://www.gunviolencearchive.org/incident/197195,33.196974,-87.569705,1,0
82,82,83,4351,Tuttle Avenue,Mobile,2014-09-26,http://www.gunviolencearchive.org/incident/199449,30.675396,-88.07279,1,0
83,83,84,4432,Springhill Road,Midway,2014-09-27,http://www.gunviolencearchive.org/incident/202530,32.0637229,-85.30578349999999,0,1
84,84,85,4546,3900 block of Newson Road,Huntsville,2014-09-27,http://www.gunviolencearchive.org/incident/199425,34.6962652,-86.62114389999999,0,0
85,85,86,4564,1500 block of Jackson Ferry Road,Montgomery,2014-09-28,http://www.gunviolencearchive.org/incident/199457,32.4034327,-86.3078687,1,0
86,86,87,4660,1700 block of Warrior Road,Birmingham,2014-09-28,http://www.gunviolencearchive.org/incident/199404,33.4939436,-86.8869572,1,0
87,87,88,4954,17th Street S.W.,Birmingham,2014-09-30,http://www.gunviolencearchive.org/incident/199479,33.477058,-86.8583769,0,0
88,88,89,5000,US Highway 43 ,Russellville,2014-09-30,http://www.gunviolencearchive.org/incident/199410,34.5086178,-87.7173469,0,0
89,89,90,19,1300 block of Alabama Ave,Selma,2014-09-01,http://www.gunviolencearchive.org/incident/186796,32.4084596,-87.0175501,0,0
90,90,91,44,5900 Messer Airport Hwy,Birmingham,2014-09-01,http://www.gunviolencearchive.org/incident/192477,33.5620777,-86.752285,0,0
91,91,92,152,3100 block of 20th Street ,Tuscaloosa,2014-09-01,http://www.gunviolencearchive.org/incident/186638,33.1944261,-87.5762007,1,0
92,92,93,304,502 Barnett Boulevard,Tallassee,2014-09-02,http://www.gunviolencearchive.org/incident/186827,32.537157,-85.89726619999999,0,0
93,93,94,305,1500 block of 53rd St,Birmingham (Ensley),2014-09-02,http://www.gunviolencearchive.org/incident/186723,33.4821898,-86.89631949999999,0,1
94,94,95,322,100 block of W. Delano Avenue ,Montgomery,2014-09-02,http://www.gunviolencearchive.org/incident/186803,32.3371968,-86.31098229999999,1,0
95,95,96,397,200 block of 4th Terrace North,Birmingham,2014-09-03,http://www.gunviolencearchive.org/incident/186770,33.5099436,-86.83307580000002,0,1
96,96,97,441,4920 US-78,Oxford,2014-09-03,http://www.gunviolencearchive.org/incident/186814,33.597903,-85.928066,1,0
97,97,98,484,4000 block of Hunters Ridge Drive ,Huntsville,2014-09-03,http://www.gunviolencearchive.org/incident/186777,34.6783329,-86.5867349,1,0
98,98,99,486,5100 block of Carmichael Road,Montgomery,2014-09-03,http://www.gunviolencearchive.org/incident/200506,32.3597769,-86.2192154,0,2
99,99,100,488,Brindlee Mountain Parkway,Arab,2014-09-03,http://www.gunviolencearchive.org/incident/186774,34.3090557,-86.5015411,0,0
100,100,101,521,Athey Road at Skipper Drive ,Mobile,2014-09-04,http://www.gunviolencearchive.org/incident/186836,30.715198,-88.19506000000001,0,0
101,101,102,525,1600 block of Jefferson Avenue Southwest,Birmingham,2014-09-04,http://www.gunviolencearchive.org/incident/186766,33.485596,-86.857354,0,1
102,102,103,666,1900 block of Center Point Road,Birmingham,2014-09-05,http://www.gunviolencearchive.org/incident/186757,33.6793554,-86.6810057,0,0
103,103,104,709,Harden Avenue and Governors Drive,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186833,,,0,0
104,104,105,713,Jordan Lane ,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186830,34.7266767,-86.6275012,0,0
105,105,106,739,901 East Meighan Blvd,Gadsden,2014-09-05,http://www.gunviolencearchive.org/incident/187959,34.0071381,-85.9785307,0,0
106,106,107,741,Lake Forest Circle,Hoover,2014-09-05,http://www.gunviolencearchive.org/incident/195338,33.3409646,-86.8305893,0,0
107,107,108,749,3500 block of Griffintown Road ,Bibb County,2014-09-05,http://www.gunviolencearchive.org/incident/188944,33.1716988,-87.0911406,1,0
108,108,109,759,3000 block of Meridian Street ,Huntsville,2014-09-05,http://www.gunviolencearchive.org/incident/186785,34.7635729,-86.5732622,0,0
109,109,110,792,3400 block of Conley Road,Hoover,2014-09-05,http://www.gunviolencearchive.org/incident/186839,33.3892655,-86.81454579999999,0,0
110,110,111,813,100 block of Broad Street ,Alexander City ,2014-09-05,http://www.gunviolencearchive.org/incident/196318,32.9452418,-85.9532188,0,0
111,111,112,850,300 block of Beta Street,Birmingham,2014-09-06,http://www.gunviolencearchive.org/incident/186729,33.49867150000001,-86.8234763,1,1
112,112,113,953,Washington St,Greensboro,2014-09-06,http://www.gunviolencearchive.org/incident/187371,32.7096279,-87.587366,0,1
113,113,114,1005,300 block of Eighth Street,Pleasant Grove,2014-09-06,http://www.gunviolencearchive.org/incident/187367,33.4903874,-86.96395509999999,0,3
114,114,115,1094,3100 block of Cumbres Circle Northwest,Huntsville,2014-09-07,http://www.gunviolencearchive.org/incident/187373,34.7662293,-86.625536,0,0
115,115,116,1209,2811 Turf Avenue NW,Huntsville,2014-09-07,http://www.gunviolencearchive.org/incident/187957,34.7423413,-86.6122491,0,1
116,116,117,1380, 809 University Blvd E,Tuscaloosa,2014-09-09,http://www.gunviolencearchive.org/incident/192564,33.2047953,-87.5266956,0,0
117,117,118,1392,1400 block of 29th Street,Anniston,2014-09-09,http://www.gunviolencearchive.org/incident/190934,33.68319049999999,-85.8337684,1,0
118,118,119,1402,700 block of Bessemer Road,Midfield,2014-09-09,http://www.gunviolencearchive.org/incident/193538,33.46639,-86.9096106,0,0
119,119,120,1461,500 block of Jackson Camp Rd,Adger,2014-09-09,http://www.gunviolencearchive.org/incident/188939,33.4989466,-87.283245,1,0
120,120,121,1463,North Crown Street,Florence,2014-09-09,http://www.gunviolencearchive.org/incident/195102,34.8239035,-87.6331202,0,0
121,121,122,1467,1100 block of Jew Hollow Road,Mount Olive,2014-09-09,http://www.gunviolencearchive.org/incident/188935,33.6383104,-86.8681108,0,0
