,Unnamed: 0,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
8824,8825,2578,31502 Holmes Langford Rd,Opp,2014-06-18,http://www.gunviolencearchive.org/incident/149279,,,0,0
8825,8826,2601,3500 block of Woodley Road,Montgomery,2014-06-19,http://www.gunviolencearchive.org/incident/178802,,,0,0
8826,8827,2638,Highland Ave,Albertville,2014-06-19,http://www.gunviolencearchive.org/incident/149286,,,0,0
8827,8828,2716,St. Charles Court,Mobile,2014-06-19,http://www.gunviolencearchive.org/incident/149295,,,0,0
8828,8829,2738,954 Highland Ave,Montgomery,2014-06-20,http://www.gunviolencearchive.org/incident/149309,,,0,1
8829,8830,2788,Ridge Street,Mobile,2014-06-20,http://www.gunviolencearchive.org/incident/149277,,,0,1
8830,8831,2806,300 block of Ridge Street,Mobile,2014-06-20,http://www.gunviolencearchive.org/incident/300270,,,0,1
8831,8832,3026,109 Northside Square,Huntsville,2014-06-21,http://www.gunviolencearchive.org/incident/149289,,,0,0
8832,8833,3207,Judith Lane and Bob Wallace Avenue ,Huntsville,2014-06-23,http://www.gunviolencearchive.org/incident/152203,,,0,0
8833,8834,3312,5000 block of Blue Spring Road ,Huntsville,2014-06-23,http://www.gunviolencearchive.org/incident/152215,,,0,0
8834,8835,3316,3500 block of Triana Boulevard ,Huntsville,2014-06-23,http://www.gunviolencearchive.org/incident/152212,,,0,0
8835,8836,3320,3600 block of Chasewood Drive ,Huntsville,2014-06-23,http://www.gunviolencearchive.org/incident/152204,,,0,0
8836,8837,3411,1855 Cotton Ct,Montgomery,2014-06-24,http://www.gunviolencearchive.org/incident/154030,,,0,0
8837,8838,3416,County Road 99,Collinsville,2014-06-24,http://www.gunviolencearchive.org/incident/152256,,,0,1
8838,8839,3481,Valeria Street ,Mobile,2014-06-24,http://www.gunviolencearchive.org/incident/152253,,,1,0
8839,8840,3502,Highland Avenue,Montgomery,2014-06-24,http://www.gunviolencearchive.org/incident/152241,,,0,1
8840,8841,3595,4700 block of Westwood Drive,Huntsville,2014-06-25,http://www.gunviolencearchive.org/incident/152258,,,0,0
8841,8842,3599,County Road 3310 off U.S. Hwy. 231,Pike County,2014-06-25,http://www.gunviolencearchive.org/incident/152245,,,0,0
8842,8843,3620,Judith Lane and Dyshel Drive,Huntsville,2014-06-25,http://www.gunviolencearchive.org/incident/152225,,,1,0
8843,8844,3654,3500 block of West 14th Street,Anniston,2014-06-26,http://www.gunviolencearchive.org/incident/156596,,,0,1
8844,8845,3701,Garden Street and Don Juan ,Montgomery,2014-06-26,http://www.gunviolencearchive.org/incident/153979,,,1,0
8845,8846,3737,3000 block on Dauphin Street,Mobile,2014-06-26,http://www.gunviolencearchive.org/incident/152296,,,1,0
8846,8847,3745,2400 block of Vining Avenue ,Huntsville,2014-06-26,http://www.gunviolencearchive.org/incident/152229,,,1,0
8847,8848,3789,2800 block of East South Boulevard ,Montgomery,2014-06-26,http://www.gunviolencearchive.org/incident/186726,,,0,0
8848,8849,3793,2300 block of 9th Court South,Birmingham,2014-06-26,http://www.gunviolencearchive.org/incident/157065,,,3,0
8849,8850,3805,200 block of Chester Avenue,Opelika,2014-06-27,http://www.gunviolencearchive.org/incident/166480,,,0,0
8850,8851,3820,1305 West River Falls St,Andalusia,2014-06-27,http://www.gunviolencearchive.org/incident/154033,,,0,0
8851,8852,3824,8610 Eastchase Parkway,Montgomery,2014-06-27,http://www.gunviolencearchive.org/incident/153977,,,0,0
8852,8853,3826,2100 block of Waverly Parkway,Opelika,2014-06-27,http://www.gunviolencearchive.org/incident/166482,,,0,0
8853,8854,3860,70 block of Lee Road 872,Auburn,2014-06-27,http://www.gunviolencearchive.org/incident/153453,,,0,0
8854,8855,3939,3262 Warringwood Drive,Hoover,2014-06-27,http://www.gunviolencearchive.org/incident/153064,,,0,1
8855,8856,3998,800 block of North Donahue Drive,Auburn,2014-06-28,http://www.gunviolencearchive.org/incident/153456,,,1,0
8856,8857,4060,3200 block of Westheimer Drive Southwest,Huntsville,2014-06-28,http://www.gunviolencearchive.org/incident/153082,,,0,0
8857,8858,4064,Beard Street and Tundra Court Northwest,Huntsville,2014-06-28,http://www.gunviolencearchive.org/incident/153077,,,0,0
8858,8859,4079,5900 Messer Airport Hwy,Birmingham,2014-06-28,http://www.gunviolencearchive.org/incident/186066,,,0,0
8859,8860,4105,700 block of Lee Road 872,Auburn ,2014-06-28,http://www.gunviolencearchive.org/incident/153987,,,0,0
8860,8861,4113,5901 University Drive,Huntsville,2014-06-28,http://www.gunviolencearchive.org/incident/153084,,,0,0
8861,8862,4141,5900 Messer Airport Hwy,Birmingham,2014-06-29,http://www.gunviolencearchive.org/incident/186076,,,0,0
8862,8863,4161,Turf Avenue and Beard Street,Huntsville,2014-06-29,http://www.gunviolencearchive.org/incident/153072,,,1,0
8863,8864,4164,Highway 43,Russellville,2014-06-29,http://www.gunviolencearchive.org/incident/153974,,,0,0
8864,8865,4189,1400 block of Stonehenge Road,Montgomery,2014-06-29,http://www.gunviolencearchive.org/incident/153982,,,2,0
8865,8866,4223,300 block of Lee Road 2140,Phenix City,2014-06-29,http://www.gunviolencearchive.org/incident/166479,,,0,0
8866,8867,4227,30 block of Lee Road 2106,Phenix City,2014-06-29,http://www.gunviolencearchive.org/incident/166470,,,0,0
8867,8868,4274,4400 block of Brewbaker Drive,Montgomery,2014-06-29,http://www.gunviolencearchive.org/incident/153059,,,0,1
8868,8869,4303,21000 block of Lakeview Dr,Vance,2014-06-30,http://www.gunviolencearchive.org/incident/156590,,,1,0
8869,8870,4346,7990 S U S 231,Dothan,2014-06-30,http://www.gunviolencearchive.org/incident/153696,,,0,0
8870,8871,4409,Mason Court,Huntsville,2014-06-30,http://www.gunviolencearchive.org/incident/153976,,,0,0
8871,8872,4419,3300 block of Alyci Drive ,Huntsville,2014-06-30,http://www.gunviolencearchive.org/incident/153073,,,0,0
8872,8873,117,3600 block of Pine Avenue,Birmingham,2016-01-01,http://www.gunviolencearchive.org/incident/476654,33.4527,-86.8918,0,1
8873,8874,160,150 Dauphin St,Mobile,2016-01-01,http://www.gunviolencearchive.org/incident/479550,30.691999999999997,-88.0418,1,0
8874,8875,181,104 12th Avenue NW,Decatur,2016-01-01,http://www.gunviolencearchive.org/incident/477056,34.6043,-87.0027,1,0
8875,8876,260,3577 Dauphin Island Parkway,Mobile,2016-01-02,http://www.gunviolencearchive.org/incident/477398,30.5978,-88.07799999999999,0,1
8876,8877,305,Lucas Ferry Road,Athens,2016-01-02,http://www.gunviolencearchive.org/incident/479552,34.7689,-87.0013,0,0
8877,8878,352,5000 block of Kyle Lane,Huntsville,2016-01-02,http://www.gunviolencearchive.org/incident/478298,34.7687,-86.6329,0,1
8878,8879,367,47 Pine Grove Road,Cordova,2016-01-03,http://www.gunviolencearchive.org/incident/479036,33.7598,-87.1833,3,0
8879,8880,486,1500 block of Ashdale Road,Tuskegee,2016-01-03,http://www.gunviolencearchive.org/incident/479118,32.4412,-85.6981,0,1
8880,8881,488,West Street,Talladega,2016-01-03,http://www.gunviolencearchive.org/incident/481148,33.4401,-86.1074,1,0
8881,8882,489,500 block of Howard Street,Talladega,2016-01-03,http://www.gunviolencearchive.org/incident/481150,33.4424,-86.1098,0,0
8882,8883,503,28th Street and Avenue D,Birmingham,2016-01-03,http://www.gunviolencearchive.org/incident/479146,33.5511,-86.7983,1,0
8883,8884,506,20th block of Haversham Circle,Jefferson (county),2016-01-03,http://www.gunviolencearchive.org/incident/479150,33.6643,-86.68799999999999,1,0
8884,8885,530,,Fultondale,2016-01-04,http://www.gunviolencearchive.org/incident/500150,33.6082,-86.8141,0,0
8885,8886,576,2900 block of 2nd Avenue,Huntsville,2016-01-04,http://www.gunviolencearchive.org/incident/479121,34.7232,-86.6104,1,0
8886,8887,594,2700 block of Bell Road,Montgomery,2016-01-04,http://www.gunviolencearchive.org/incident/495434,32.3415,-86.1959,0,0
8887,8888,605,Arkadelphia Road,Birmingham,2016-01-04,http://www.gunviolencearchive.org/incident/479032,33.52,-86.8495,2,0
8888,8889,702,900 block of 20th Street,Birmingham,2016-01-05,http://www.gunviolencearchive.org/incident/481151,33.523,-86.8114,1,0
