,Unnamed: 0,Unnamed: 0.1,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
0,6618,6619,3004,14380 US-231,Hazel Green,2017-10-19,http://www.gunviolencearchive.org/incident/964253,34.9351203,-86.5699247,0,0
1,6619,6620,3042,400 block of Dalton Dr,Birmingham,2017-10-19,http://www.gunviolencearchive.org/incident/964062,33.5955312,-86.7001509,0,1
2,6620,6621,3055,Maplecrest Drive,Huntsville,2017-10-19,http://www.gunviolencearchive.org/incident/963362,34.6355558,-86.5615524,0,0
3,6621,6622,3117,2300 Bessemer Rd,Birmingham (Ensley),2017-10-20,http://www.gunviolencearchive.org/incident/965347,33.4973598,-86.8760272,1,0
4,6622,6623,3119,1754 Pearson Ave,Birmingham,2017-10-20,http://www.gunviolencearchive.org/incident/965352,33.48543,-86.8647649,1,0
5,6623,6624,3200,100 block of Valley Terrace Drive,Birmingham,2017-10-20,http://www.gunviolencearchive.org/incident/966173,33.658324,-86.73396799999999,1,0
6,6624,6625,3204,,Perdido,2017-10-20,http://www.gunviolencearchive.org/incident/972916,29.9520391,-90.0771376,0,0
7,6625,6626,3250,County Road 25 and County Road 173,Opelika,2017-10-20,http://www.gunviolencearchive.org/incident/964344,32.7376159,-85.3868366,0,1
8,6626,6627,3525,Reno Court and Johnson Circle,Dothan,2017-10-22,http://www.gunviolencearchive.org/incident/967844,31.236588,-85.3801539,1,0
9,6627,6628,3632,205 Maxey St,Selma,2017-10-22,http://www.gunviolencearchive.org/incident/967335,32.4088409,-87.0076182,1,1
10,6628,6629,3672,1606 19th St Sw,Lanett,2017-10-22,http://www.gunviolencearchive.org/incident/966178,32.849073,-85.2059587,7,2
11,6629,6630,3679,Fox Meadow Trail,Cullman,2017-10-23,http://www.gunviolencearchive.org/incident/971428,34.1534011,-86.816113,0,1
12,6630,6631,3729,300 block of S Lawrence St,Montgomery,2017-10-23,http://www.gunviolencearchive.org/incident/967333,32.3740811,-86.3060392,0,1
13,6631,6632,3813,Sparkman Drive and Blue Spring Road,Huntsville,2017-10-23,http://www.gunviolencearchive.org/incident/966436,34.7633787,-86.5987641,0,0
14,6632,6633,3814,Forest Avenue,Montgomery,2017-10-23,http://www.gunviolencearchive.org/incident/967843,32.3667712,-86.28640999999999,0,0
15,6633,6634,3917,800 block of 45th Street North,Birmingham,2017-10-24,http://www.gunviolencearchive.org/incident/967842,33.5371457,-86.7702022,0,0
16,6634,6635,3929,700 block of Durward Drive,Montgomery,2017-10-24,http://www.gunviolencearchive.org/incident/972922,32.3954405,-86.1953116,0,0
17,6635,6636,4010,14380 US-231,Hazel Green,2017-10-25,http://www.gunviolencearchive.org/incident/972369,34.9351203,-86.5699247,0,0
18,6636,6637,4106,2022 Golf Rd SW,Huntsville,2017-10-25,http://www.gunviolencearchive.org/incident/973035,34.6806774,-86.58103849999999,1,0
19,6637,6638,4169,100 block of Frost Cir,Sheffield,2017-10-26,http://www.gunviolencearchive.org/incident/973933,33.9516673,-118.1267486,0,0
20,6638,6639,4228,Boswell Dr,Oxford,2017-10-26,http://www.gunviolencearchive.org/incident/976187,33.6011678,-85.8594273,0,0
