,Unnamed: 0,X,address,city_or_county,date,incident_url,latitude,longitude,n_injured,n_killed
5138,5139,3780,Belgrade Drive,Huntsville,2015-09-24,http://www.gunviolencearchive.org/incident/419651,34.7975,-86.5911,0,0
5139,5140,3871,Ashwood Circle,Montgomery (county),2015-09-24,http://www.gunviolencearchive.org/incident/420568,32.3549,-86.4461,1,0
5140,5141,3872,,Athens,2015-09-24,http://www.gunviolencearchive.org/incident/420576,34.788000000000004,-87.0419,0,0
5141,5142,3963,Pearl St,Talladega,2015-09-25,http://www.gunviolencearchive.org/incident/424984,33.4444,-86.1198,0,0
5142,5143,4024,5900 Messer Airport Highway,Birmingham,2015-09-25,http://www.gunviolencearchive.org/incident/497145,33.5606,-86.7484,0,0
5143,5144,4040,4th Avenue and Lexington,Birmingham,2015-09-25,http://www.gunviolencearchive.org/incident/420550,33.5096,-86.9264,0,1
5144,5145,4067,52nd Street and Bessemer Road,Birmingham,2015-09-26,http://www.gunviolencearchive.org/incident/421515,33.4824,-86.8931,1,0
5145,5146,4174,Savory Street,Talladega,2015-09-26,http://www.gunviolencearchive.org/incident/424983,33.4362,-86.1153,0,0
5146,5147,4240,100 block of Chapman Street,Troy,2015-09-27,http://www.gunviolencearchive.org/incident/421508,31.8088,-85.9699,1,0
5147,5148,4326,Roosevelt Street,Talladega,2015-09-27,http://www.gunviolencearchive.org/incident/424981,33.4409,-86.1161,1,0
5148,5149,4327,East Sloan Avenue,Talladega,2015-09-27,http://www.gunviolencearchive.org/incident/424985,33.4458,-86.1028,0,0
5149,5150,4332,2200 block of East South Boulevard,Montgomery,2015-09-27,http://www.gunviolencearchive.org/incident/421217,32.3265,-86.2729,0,1
5150,5151,4339,175 Sloan Ave,Talladega,2015-09-27,http://www.gunviolencearchive.org/incident/424979,33.4458,-86.1033,1,0
5151,5152,4435,3700 block of Lake Oak Ridge Drive,Enterprise,2015-09-28,http://www.gunviolencearchive.org/incident/424968,31.2721,-85.8091,0,0
5152,5153,4551,Interstate 65,Warrior,2015-09-28,http://www.gunviolencearchive.org/incident/421512,33.8418,-86.8251,2,0
5153,5154,4628,20000 block of Lovell Road,Limestone (county),2015-09-29,http://www.gunviolencearchive.org/incident/424971,34.8537,-87.0411,1,0
5154,5155,43,16000 block of Highway 55,Shelby County,2014-04-01,http://www.gunviolencearchive.org/incident/122104,,,0,0
5155,5156,47,1700 block of 32nd Place North,Birmingham,2014-04-01,http://www.gunviolencearchive.org/incident/122099,,,0,1
5156,5157,72,2600 block of Delray Road ,Montgomery,2014-04-01,http://www.gunviolencearchive.org/incident/121256,,,0,1
5157,5158,161,5575 Highway 90,Mobile,2014-04-02,http://www.gunviolencearchive.org/incident/123692,,,0,0
5158,5159,338,Glen Park Drive and Elizabeth Street,Huntsville,2014-04-03,http://www.gunviolencearchive.org/incident/122117,,,1,0
5159,5160,340,6960 Theodore Dawes Road,Mobile,2014-04-03,http://www.gunviolencearchive.org/incident/123695,,,0,0
5160,5161,358,50 Long St,Tarrant,2014-04-03,http://www.gunviolencearchive.org/incident/122096,,,0,0
5161,5162,368,418 John Ave,Mobile (Prichard),2014-04-03,http://www.gunviolencearchive.org/incident/122110,,,0,1
5162,5163,370,2014 Stanford Drive,Huntsville,2014-04-04,http://www.gunviolencearchive.org/incident/122114,,,2,1
5163,5164,404,22nd Avenue and 21st Street North,Birmingham,2014-04-04,http://www.gunviolencearchive.org/incident/122108,,,1,0
5164,5165,407,2100 block of 10th Place,Birmingham,2014-04-04,http://www.gunviolencearchive.org/incident/122106,,,1,0
5165,5166,485,County Road 81 ,Booth,2014-04-04,http://www.gunviolencearchive.org/incident/122025,,,0,1
5166,5167,506,100 block of 14th Avenue North East,Birmingham,2014-04-05,http://www.gunviolencearchive.org/incident/123021,,,1,1
5167,5168,533,27th Street North,Birmingham,2014-04-05,http://www.gunviolencearchive.org/incident/123016,,,0,1
5168,5169,538,2400 block of Dairy Lane,Huntsville,2014-04-05,http://www.gunviolencearchive.org/incident/123278,,,1,0
5169,5170,594,Robert Jemison Road,Birmingham,2014-04-05,http://www.gunviolencearchive.org/incident/122652,,,1,0
5170,5171,599,2900 block of Temple Crest Drive ,Birmingham,2014-04-05,http://www.gunviolencearchive.org/incident/123023,,,1,0
5171,5172,683,Clinton Avenue ,Huntsville,2014-04-06,http://www.gunviolencearchive.org/incident/123294,,,0,0
5172,5173,684,5901 University Drive ,Huntsville,2014-04-06,http://www.gunviolencearchive.org/incident/122598,,,0,0
5173,5174,687,"13,000 block of highway 231",Troy,2014-04-06,http://www.gunviolencearchive.org/incident/123291,,,2,0
5174,5175,836,County Road 511,Anderson,2014-04-07,http://www.gunviolencearchive.org/incident/129146,,,0,1
5175,5176,986,1300 block of Avenue V ,Birmingham,2014-04-08,http://www.gunviolencearchive.org/incident/124759,,,3,0
5176,5177,989,2300 block of Mt. Vernon Road,Huntsville,2014-04-08,http://www.gunviolencearchive.org/incident/124748,,,0,0
5177,5178,993,3000 block of Mountain Park Circle ,Huntsville,2014-04-08,http://www.gunviolencearchive.org/incident/124747,,,0,0
5178,5179,1014,2454 County Road 177,Cusseta,2014-04-08,http://www.gunviolencearchive.org/incident/201864,,,1,1
5179,5180,1036,2100 block of Griffith Drive,Huntsville,2014-04-09,http://www.gunviolencearchive.org/incident/124746,,,0,0
5180,5181,1037,324 Cardinal Drive,Decatur,2014-04-09,http://www.gunviolencearchive.org/incident/124739,,,1,0
5181,5182,1058,3030 Airport Boulevard ,Mobile,2014-04-09,http://www.gunviolencearchive.org/incident/124755,,,0,0
5182,5183,1062,3000 Dauphin Street,Mobile,2014-04-09,http://www.gunviolencearchive.org/incident/124753,,,0,0
5183,5184,1073,Pulaski Pike,Huntsville,2014-04-09,http://www.gunviolencearchive.org/incident/124750,,,0,0
5184,5185,1082,Highway 29,Luverne,2014-04-09,http://www.gunviolencearchive.org/incident/124745,,,1,0
5185,5186,1086,316 17th Street North,Bessemer,2014-04-09,http://www.gunviolencearchive.org/incident/125494,,,0,0
5186,5187,1109,2300 Wind Trace Avenue,Huntsville,2014-04-09,http://www.gunviolencearchive.org/incident/123717,,,0,0
5187,5188,1183,767 West Selma Street,Dothan,2014-04-10,http://www.gunviolencearchive.org/incident/124742,,,0,0
5188,5189,1373,6000 block of Colfax Avenue ,Huntsville,2014-04-11,http://www.gunviolencearchive.org/incident/125389,,,1,0
5189,5190,1399,Stephens and Oakland streets,Montgomery,2014-04-11,http://www.gunviolencearchive.org/incident/125397,,,1,1
5190,5191,1415,3108 Park Ct.,Millbrook,2014-04-12,http://www.gunviolencearchive.org/incident/125400,,,0,0
5191,5192,1419,900 block of Hoover Street,Huntsville,2014-04-12,http://www.gunviolencearchive.org/incident/125392,,,0,0
5192,5193,1444,Lamb Road ,Salem,2014-04-12,http://www.gunviolencearchive.org/incident/125499,,,0,1
5193,5194,1448,1300 block of Withers Street,Montgomery,2014-04-12,http://www.gunviolencearchive.org/incident/125486,,,1,0
5194,5195,1499,100 block of Tom Morris Lane,Enterprise,2014-04-12,http://www.gunviolencearchive.org/incident/125492,,,1,0
5195,5196,1500,1500 block of Williams Bend Road,Albertville,2014-04-12,http://www.gunviolencearchive.org/incident/125568,,,2,0
5196,5197,1510,600 block of Spencer Avenue,Auburn,2014-04-12,http://www.gunviolencearchive.org/incident/125481,,,1,0
5197,5198,1602,2400 block of Ormond Drive ,Center Point,2014-04-13,http://www.gunviolencearchive.org/incident/125516,,,0,0
5198,5199,1605,1200 block of North Cherry Street,Dothan,2014-04-13,http://www.gunviolencearchive.org/incident/129242,,,0,0
5199,5200,1617,Pinbrook Lane ,Tuscaloosa,2014-04-13,http://www.gunviolencearchive.org/incident/125510,,,0,0
5200,5201,1645,1288 Dauphin Island Parkway,Mobile,2014-04-13,http://www.gunviolencearchive.org/incident/126113,,,0,0
5201,5202,1766,Williams Road,Elmore County,2014-04-14,http://www.gunviolencearchive.org/incident/126909,,,0,0
5202,5203,1795,I-20/59 ,Mccalla,2014-04-14,http://www.gunviolencearchive.org/incident/125532,,,0,1
5203,5204,1817,County Road 15,Clio,2014-04-14,http://www.gunviolencearchive.org/incident/125399,,,0,0
5204,5205,1822,10736 U.S. 231,Wallsboro,2014-04-14,http://www.gunviolencearchive.org/incident/130152,,,0,0
5205,5206,1838,2500 block of East Fifth Street,Montgomery,2014-04-15,http://www.gunviolencearchive.org/incident/128233,,,1,0
5206,5207,1850,Spruce and Ryan streets ,Montgomery,2014-04-15,http://www.gunviolencearchive.org/incident/126899,,,1,0
