"","X","address","city_or_county","date","incident_url","latitude","longitude","n_injured","n_killed"
"17",739,"901 East Meighan Blvd","Gadsden","2014-09-05","http://www.gunviolencearchive.org/incident/187959",NA,NA,0,0
"18",741,"Lake Forest Circle","Hoover","2014-09-05","http://www.gunviolencearchive.org/incident/195338",NA,NA,0,0
"19",749,"3500 block of Griffintown Road ","Bibb County","2014-09-05","http://www.gunviolencearchive.org/incident/188944",NA,NA,1,0
"20",759,"3000 block of Meridian Street ","Huntsville","2014-09-05","http://www.gunviolencearchive.org/incident/186785",NA,NA,0,0
"21",792,"3400 block of Conley Road","Hoover","2014-09-05","http://www.gunviolencearchive.org/incident/186839",NA,NA,0,0
"22",813,"100 block of Broad Street ","Alexander City ","2014-09-05","http://www.gunviolencearchive.org/incident/196318",NA,NA,0,0
"23",850,"300 block of Beta Street","Birmingham","2014-09-06","http://www.gunviolencearchive.org/incident/186729",NA,NA,1,1
"24",953,"Washington St","Greensboro","2014-09-06","http://www.gunviolencearchive.org/incident/187371",NA,NA,0,1
"25",1005,"300 block of Eighth Street","Pleasant Grove","2014-09-06","http://www.gunviolencearchive.org/incident/187367",NA,NA,0,3
"26",1094,"3100 block of Cumbres Circle Northwest","Huntsville","2014-09-07","http://www.gunviolencearchive.org/incident/187373",NA,NA,0,0
"27",1209,"2811 Turf Avenue NW","Huntsville","2014-09-07","http://www.gunviolencearchive.org/incident/187957",NA,NA,0,1
"28",1380," 809 University Blvd E","Tuscaloosa","2014-09-09","http://www.gunviolencearchive.org/incident/192564",NA,NA,0,0
"29",1392,"1400 block of 29th Street","Anniston","2014-09-09","http://www.gunviolencearchive.org/incident/190934",NA,NA,1,0
"30",1402,"700 block of Bessemer Road","Midfield","2014-09-09","http://www.gunviolencearchive.org/incident/193538",NA,NA,0,0
"31",1461,"500 block of Jackson Camp Rd","Adger","2014-09-09","http://www.gunviolencearchive.org/incident/188939",NA,NA,1,0
"32",1463,"North Crown Street","Florence","2014-09-09","http://www.gunviolencearchive.org/incident/195102",NA,NA,0,0
"33",1467,"1100 block of Jew Hollow Road","Mount Olive","2014-09-09","http://www.gunviolencearchive.org/incident/188935",NA,NA,0,0
"34",1477,"Jew Hollow Road","Mount Olive","2014-09-09","http://www.gunviolencearchive.org/incident/195095",NA,NA,0,0
"35",1490,"South Crown Street","Florence","2014-09-09","http://www.gunviolencearchive.org/incident/192743",NA,NA,1,0
"36",1677,"800 Airport Dr","Dothan","2014-09-10","http://www.gunviolencearchive.org/incident/193376",NA,NA,0,0
"37",1696,"300 block of Cherry Avenue","Opelika","2014-09-10","http://www.gunviolencearchive.org/incident/189726",NA,NA,1,0
"38",1706,"180 block of 2nd Street Thomas ","Birmingham","2014-09-10","http://www.gunviolencearchive.org/incident/190951",NA,NA,0,0
"39",1924,"Park Street","Troy","2014-09-12","http://www.gunviolencearchive.org/incident/192583",NA,NA,0,0
"40",1935," 248 1st Ave Sw","Birmingham","2014-09-12","http://www.gunviolencearchive.org/incident/190296",NA,NA,1,0
"41",1980,"1477 Gadsden Hwy","Birmingham","2014-09-12","http://www.gunviolencearchive.org/incident/195340",NA,NA,0,0
"42",1996,"Logan Road ","Clanton","2014-09-12","http://www.gunviolencearchive.org/incident/190923",NA,NA,0,0
"43",2090,"4100 block of 5th Court North ","Birmingham","2014-09-13","http://www.gunviolencearchive.org/incident/190917",NA,NA,1,0
